281474976715737	ଘଡ	5.25	5.64
281474976715737	ଘଡ	5.64	6.02
281474976715737	ନେଲା	4.53	4.91
281474976717516	ପ୍ରେଗନାଂଟ	3.18	3.72
281474976718447	ସୁବିଧା	7.28	7.81
281474976719491	ଦରକାର	2.15	2.63
281474976719503	ଦାମ୍	2.43	2.74
281474976719773	ଆସିବେ	4.03	4.56
281474976720381	ଲଗୁଛି	6.27	7.41
281474976720994	ଘନ	0.85	1.34
281474976720994	ଘନ	1.34	1.83
281474976720994	ଜ୍ୱାଳା	4.34	4.81
281474976721097	ଉତାପ	4.98	5.75
281474976721097	କାଂଦୁଛି	8.08	9.0
281474976721097	ମୁଣ୍ଡରେ	4.35	4.98
281474976721276	ଉଠୁଛି	3.06	3.71
281474976721433	ପେଟରେ	1.21	1.82
281474976722233	ଚାଲିବାକୁ	2.24	2.89
281474976724119	ଛୋଟ	3.64	4.1
281474976724256	ପଟ	1.98	2.56
281474976724360	ଶୁଭୁନି	1.29	2.02
281474976724366	ଲାଳ	3.46	3.85
281474976724451	ନାଇଁ	9.29	9.82
281474976724836	କୁହନ୍ତୁ	2.06	2.45
281474976727006	ନେବାରେ	3.43	3.95
281474976727440	ପାଉନି	5.12	6.04
281474976727611	ଭାଙ୍ଗି	2.98	3.5
281474976727912	ବାଳ	2.65	2.95
281474976727912	ମୁଣ୍ଡରେ	1.92	2.36
281474976728126	ଗ୍ୟାସ	3.4	3.93
281474976728126	ଠିକ୍	2.72	3.02
281474976728314	ହଜି	2.55	2.91
281474976728356	ବଡ଼	0.35	0.64
281474976728746	ସରକାରୀ	1.37	2.23
281474976728746	ସ୍ତରରେ	2.23	2.96
281474976728891	ଭାରି	4.08	4.44
281474976728948	ପୁଅର	1.09	1.72
281474976729817	ପଚିଶି	2.82	3.34
281474976729823	ହଳଦିଆ	1.68	2.25
281474976729844	ଭୀଷଣ	3.6	4.1
281474976729844	ହୁଏ	4.5	4.73
281474976730284	ଗ୍ୟାସ	0.71	1.17
281474976731518	ନଷ୍ଟ	1.53	2.18
281474976731518	ବ୍ଲିଡ଼ିଙ୍ଗ	3.66	4.21
281474976731883	ଘନ	2.65	2.98
281474976731883	ଘନ	2.98	3.23
281474976732005	ଜୋରରେ	2.86	3.36
281474976732038	ଏଠି	2.07	2.42
281474976732038	ପାରିବ	2.7	3.08
281474976732081	ଭାରି	2.5	2.8
281474976732132	ଦିହରୁ	1.39	1.78
281474976732216	କାଶ	2.41	2.78
281474976732233	ମୋର୍	0.75	1.09
281474976732656	ତଳି	1.64	2.0
281474976732656	ବିଛଣା	3.12	3.66
281474976732656	ସକାଳେ	2.62	3.12
281474976732856	ନହେଲେ	1.2	1.9
281474976732887	କାହିଁ	4.66	5.09
281474976732887	ବେଶି	1.97	2.52
281474976732971	ଗେଟା	1.51	2.09
281474976732971	ମାଂସ	2.54	3.01
281474976733071	କମି	2.27	2.7
281474976733097	ବାଳ	3.11	3.45
281474976733221	ମୋର୍	1.81	2.35
281474976734399	ଦିନରେ	1.79	2.61
281474976734399	ଦୁଇରୁ	0.68	1.34
281474976734483	କାଶ	1.24	1.75
281474976734753	କରନ୍ତୁ	2.88	3.52
281474976734753	କରିବାକୁ	5.85	6.4
281474976734826	ଦୁଇଟି	1.77	2.31
281474976735078	ଉଠି	5.99	6.32
281474976735078	ପାରୁନାହିଁ	6.32	7.16
281474976737596	କାନରୁ	0.56	1.01
281474976737596	ପୁଜ	1.01	1.35
281474976737601	ଗଲା	3.75	4.0
281474976737687	ମେନ୍ସ	1.88	2.33
281474976737819	ପଚିଶି	0.76	1.2
281474976737843	ଆଣିଥିଲି	5.13	5.51
281474976737843	ତିରିଶ	2.13	2.48
281474976737848	ଖୁଆ	0.99	1.3
281474976737848	ସମ୍ପୂର୍ଣ	1.98	2.48
281474976737862	ପ୍ରବଳ	1.67	2.0
281474976738309	ତଣ୍ଟି	2.05	2.38
281474976738309	ଦରଜ	1.44	1.8
281474976738309	ଭୀଷଣ	1.03	1.44
281474976743773	ବଡ଼	7.52	7.9
281474976743901	ଭୋକ	0.28	0.78
281474976743938	କଟି	3.59	3.96
281474976743938	ଯାଇଥିଲା	3.96	4.57
281474976743942	ଚୁଟି	1.18	1.66
281474976743998	ନେବାରେ	3.45	3.94
281474976744031	ଖାଉନି	2.69	3.28
281474976744097	ଥାନ୍ତି	4.01	4.33
281474976744097	ଭାଙ୍ଗି	1.78	2.15
281474976744138	ଜ୍ୱାଳା	4.48	4.84
281474976745862	ଡର	3.12	3.38
281474976745963	ନଖ	1.65	2.06
281474976746054	କିଡ଼ନୀ	1.2	1.62
281474976746054	ବିମାରେ	2.77	3.22
281474976746181	ପଡିବ	6.62	7.6
281474976747518	ମାଂସ	1.06	1.53
281474976747518	ରଖୁଛି	5.38	6.6
281474976747535	ଇନ୍ସୁରାନ୍ସ	0.55	1.17
281474976747535	ଥିଲେ	1.48	1.7
281474976747886	ଛୋଟ	1.36	1.8
281474976751543	କୌଣସି	1.71	2.17
281474976751543	ପାରିବା	8.3	8.88
281474976751595	ଦେହରୁ	1.59	2.23
281474976751595	ଯାଉଚି	2.57	3.2
281474976751601	କଟି	7.36	7.7
281474976751601	ଗଲା	7.7	7.97
281474976751601	ଚେକ	4.21	4.5
281474976751634	ଦୟାକରି	8.41	9.12
281474976753467	ମୁତିଲା	1.07	1.56
281474976753558	କାନରୁ	0.68	1.37
281474976753558	ପୁଜ	1.37	1.81
281474976754022	କମ	2.16	2.55
281474976754054	ରାତି	1.68	2.1
281474976754065	କରିଵି	4.56	4.98
281474976754065	ପଡି	1.38	1.74
281474976754134	ପଡି	1.34	1.63
281474976754143	ଇଚ୍ଛା	2.75	3.08
281474976754143	ଗ୍ୟାସ	0.4	0.97
281474976754202	କୁହନ୍ତୁ	8.32	9.01
281474976756350	ଦାମ୍	2.46	2.88
281474976756350	ପାଇ	3.64	3.88
281474976756523	ଧାନ	0.32	0.78
281474976756631	ଆଶା	3.0	3.22
281474976756631	ଧରି	3.41	3.6
281474976756631	ବାଡ଼ି	3.22	3.41
281474976756905	ଯାଉନି	1.6	1.91
281474976757020	ଦେଖି	1.2	1.47
281474976757054	ବିନ୍ଧୁଚି	1.73	2.13
281474976757107	ଇନ୍ସୁରାନ୍ସ	1.0	1.44
281474976757107	ବର୍ଷକୁ	1.65	1.98
281474976757107	ବାନ୍ଧୁଛି	2.45	2.81
281474976757255	ଖାଉ	3.72	4.03
281474976757276	ଗଲେ	1.74	1.97
281474976757276	ପାଖକୁ	1.56	1.74
281474976758545	ଖାଉନି	2.95	3.52
281474976758586	କରିବାକୁ	4.7	5.27
281474976758685	ହେଇକି	1.88	2.25
281474976758904	କମ୍ପ	2.88	3.26
281474976758904	ଗରମ	1.42	1.79
281474976758904	ମଝିରେ	2.19	2.56
281474976758904	ମଝିରେ	2.56	2.88
281474976759190	ଦେଖାଇ	3.07	3.42
281474976759190	ଭାଙ୍ଗି	1.64	1.97
281474976759190	ହାଡ	2.33	2.6
281474976759190	ହାଡ	3.66	3.9
281474976759413	କରନ୍ତୁ	6.19	6.7
281474976759584	ଲଗୁଛି	5.87	6.95
281474976759591	ଧଇଁ	0.35	0.95
281474976759591	ନିଃଶ୍ୱାସ	2.02	2.68
281474976759608	କ୍ୟାନ୍ସର	2.82	3.4
281474976759608	ସାହାଯ୍ୟରେ	2.09	2.82
281474976759798	କାନ୍ଦୁଛି	3.03	3.86
281474976759798	ଖାଲି	1.35	1.88
281474976759853	ଶୋଇ	3.58	4.15
281474976759863	ଇଚ୍ଛା	2.33	2.75
281474976759863	ମାଂସ	0.97	1.47
281474976759867	ପ୍ରେଗନାଂଟ	2.8	3.6
281474976759900	ବୀମା	3.51	4.17
281474976759900	ହୈ	5.69	6.02
281474976759927	କାନରେ	0.28	0.87
281474976759927	ପୋକ	0.87	1.6
281474976759946	କୁହନ୍ତୁ	5.47	6.08
281474976759988	ହଉ	9.01	9.37
281474976760040	ଫୁଲୁଚି	1.72	2.54
281474976760723	ହଜି	2.12	2.49
281474976760730	ଭୋକ	2.3	2.69
281474976760880	ଖାଇବା	0.56	0.95
281474976760880	ଖାଇବାକୁ	3.06	3.76
281474976760953	କଟି	1.0	1.39
281474976760953	ଗୋଡ଼ଟା	0.56	1.0
281474976761005	ଦିନରେ	0.51	0.72
281474976761005	ପାଞ୍ଚରୁ	1.01	1.5
281474976761005	ଭାରି	3.8	4.15
281474976761056	ବାହା	3.0	3.33
281474976761110	ଖାଇବା	2.29	2.64
281474976761110	ଗ୍ୟାସ	0.74	1.2
281474976761143	ବାନ୍ଧୁଛି	2.47	2.94
281474976761143	ବୀମା	2.19	2.47
281474976761143	ବୀମା	4.03	4.54
281474976761317	ଛଅ	3.5	3.85
281474976761337	ପୁଅର	1.17	1.7
281474976761337	ଯାଉନି	2.34	2.82
281474976761405	ଦୁଇରୁ	3.4	3.79
281474976761405	ପ୍ରାୟ	3.05	3.4
281474976761408	ଦେହରୁ	0.61	1.11
281474976761408	ଯାଉଚି	1.53	2.23
281474976761408	ସାଧା	1.11	1.53
281474976764739	ଉପକାର	5.92	6.52
281474976764739	ଗୋଟିଏ	0.86	1.37
281474976764739	ଯୋଜନା	3.02	3.45
281474976764765	କଲ୍ୟାଣ	6.02	6.4
281474976764765	ପୁଅର	2.8	3.24
281474976764765	ଭାଙ୍ଗି	3.57	3.91
281474976764765	ଯୋଜନା	6.4	6.84
281474976764812	ଦେଖେଇ	3.96	4.35
281474976764812	ପଡ଼ିବ	4.55	5.04
281474976764812	ପରୀକ୍ଷା	1.27	1.78
281474976764812	ବାକୁ	4.35	4.55
281474976764960	ବାଇଶି	1.06	1.44
281474976764960	ବାଳ	3.49	3.84
281474976765033	ଦେଖୁଛନ୍ତି	3.28	3.87
281474976765062	ବାତ	1.78	2.27
281474976765304	ଚାଲିଲା	2.13	2.61
281474976765304	ହାତରେ	1.15	1.56
