281474976714198	ନାଲି	1.04	1.42
281474976714988	ମାଂସ	2.84	3.4
281474976715000	ଇନ୍ସୁରେନ୍ସ	3.23	3.89
281474976715000	ଡାକ୍ତରଖାନା	5.1	5.83
281474976715000	ପାଇବି	7.25	7.82
281474976715000	ବାନ୍ଧୁଛି	3.89	4.56
281474976715019	ହଳଦିଆ	2.43	2.91
281474976715237	ଅସୁବିଧା	1.97	2.49
281474976715237	ନହେଲେ	0.92	1.64
281474976715237	ସୁବିଧା	3.71	4.16
281474976715317	ଚାଲିଲା	2.71	3.1
281474976715317	ଧଇଁ	3.47	3.77
281474976715317	ଲଗୁଛି	1.54	2.15
281474976715351	ଉଠୁଛି	3.18	3.82
281474976715351	ଉତ୍ତାପ	2.69	3.15
281474976715351	ଭିଷଣ	1.17	1.64
281474976715378	କାନରୁ	1.89	2.34
281474976715415	କମ	2.52	2.85
281474976715505	ଘଡ	4.1	4.41
281474976715505	ନେଲା	3.16	3.44
281474976715581	ତିନ	2.44	2.69
281474976715581	ନଷ୍ଟ	5.45	5.85
281474976715581	ନେଗେଟିଭ	0.61	1.14
281474976715640	ଜ୍ୱାଳା	2.96	3.42
281474976715807	ଛୋଟ	1.8	2.31
281474976715827	ବଢ଼ା	4.2	4.67
281474976715827	ଷାଠିଏ	1.95	2.66
281474976715827	ସବୁବେଳ	3.65	4.2
281474976715910	ଘନ	1.88	2.36
281474976715910	ପରୀକ୍ଷା	6.57	7.29
