000040215	అనుమానాస్పద	2.03	2.63
000060130	సూచించాలని	2.22	2.94
000060247	సూచిస్తుంది	5.97	6.62
000070110	చెరో	7.15	7.51
000070269	పాలను	4.4	4.94
000070447	శేషయ్య	1.41	1.96
000090264	మేయర్	3.7	3.97
000100413	మాదిగ	0.44	0.84
000100413	మాదిగ	3.83	4.23
000120459	వస్తుందా	0.94	1.31
000130171	సామాజికవర్గానికి	2.5	3.58
000130208	అరెస్ట్	3.58	3.91
000130241	అప్	1.11	1.2
000130329	అనుమానాస్పద	2.1	2.81
000130329	అనుమానాస్పద	5.06	5.84
000130444	భాషా	7.86	8.21
000160056	సారలమ్మ	5.45	5.84
000160112	గణేష్	0.44	0.75
000160112	గణేష్	2.77	3.08
000160147	పంపిన	2.63	2.97
000160220	సందర్శించే	1.91	2.54
000160246	పాలను	0.77	1.1
000160450	పరీక్షలను	2.36	2.81
000160482	సమస్యపై	1.73	2.22
000170136	బీహార్	3.49	4.17
000170171	కూలీల	13.02	13.65
000170329	అరెస్ట్	2.15	2.56
000170329	అరెస్ట్	5.41	5.7
000180055	ర్యాగింగ్	1.01	1.35
000180196	సీఎంలు	0.77	1.14
000180229	ఇంజనీరింగ్	3.03	3.53
000180229	ఇంజనీరింగ్	4.07	4.53
000180243	సత్యవతి	0.45	1.11
000180297	సంస్థతో	1.32	1.77
000180441	ఫోటో	3.1	3.4
000180441	ఫోటో	4.2	4.45
000190383	స్వేచ్ఛగా	0.99	1.5
000190383	స్వేచ్ఛగా	3.49	3.99
000220010	సతీష్	1.54	1.91
000220031	విభిన్నమైన	0.44	1.12
000220031	విభిన్నమైన	1.17	1.77
000220119	కూలీల	3.53	3.88
000220197	రైతుకు	4.23	4.6
000220235	కొడాలి	0.44	0.8
000220235	కొడాలి	3.05	3.35
000220489	జై	0.43	0.67
000240125	భూమన	3.6	3.9
000240178	జయంతి	0.81	1.17
000240178	జయంతి	2.54	2.79
000240184	క్రిడా	0.8	1.01
000240184	క్రిడా	2.35	2.57
000240373	అభినందనలు	1.07	1.48
000240383	కుట్రలో	3.1	3.42
000240383	కుట్రలో	4.0	4.32
000250205	శిరీష్	1.72	2.31
000250292	స్నాచింగ్	3.21	3.92
000250474	పాటూరు	4.6	5.24
000250474	పాటూరు	11.01	11.43
000250474	ప్రజాశక్తి	2.82	3.49
000250474	ప్రజాశక్తి	9.32	9.98
000250474	సంపాదకులు	3.49	4.32
000250474	సంపాదకులు	9.98	10.73
000280009	జియో	2.67	3.0
000280035	ఫోటో	3.39	3.79
000280035	స్మార్ట్	1.33	1.66
000280057	సత్వర	4.76	5.17
000280092	గూగుల్	0.38	0.87
000280092	గూగుల్	5.54	5.9
000280149	సభ్యులుగా	5.11	5.69
000280258	చూసేందుకు	5.11	5.58
000280258	చూసేందుకు	7.81	8.26
000280361	క్రిడా	4.94	5.22
000280361	సచి	0.99	1.32
000300287	హోటల్లో	1.67	2.1
000320079	స్వేచ్ఛగా	4.37	4.88
000320310	బస్సులను	3.91	4.3
000330074	ప్రభు	2.61	3.01
000330074	ప్రభు	6.23	6.65
000330331	హీరోగా	4.81	5.17
000330387	సస్పెండ్	3.41	3.86
000330400	సుబ్బారెడ్డి	2.42	3.11
000340281	సస్యశ్యామలం	6.12	6.71
000340330	జట్లకు	0.69	1.2
000350217	స్థానాలను	3.96	4.48
000350258	సులభం	6.43	6.88
000350269	పాట	4.15	4.62
000350474	హరితహారం	0.47	1.19
000370159	మర్రి	1.48	1.77
000370230	మాత్రాన	1.65	2.22
000370281	నాసా	0.46	0.84
000370281	నాసా	1.47	1.83
000380057	వాటర్	1.75	2.12
000380317	ఆలోచనే	0.7	1.17
000380450	వర్ష	3.63	3.91
000390257	సమావేశాలను	1.0	1.81
000400042	విద్యార్థినులు	2.29	2.95
000400055	గౌరవాన్ని	3.04	3.6
000400112	సిరియాలోని	0.46	1.12
000400338	సాగిస్తూనే	3.53	4.16
000410079	శాతవాహనులు	4.89	5.8
000410095	బోల్తా	6.47	6.79
000410116	శ్రీధర్	0.48	0.95
000420113	హీనా	2.26	2.91
000420421	విమర్శల	1.41	1.91
000440132	సూత్రధారి	3.35	3.87
000440447	అవుతున్నారు	4.48	5.17
000450117	తరానికి	2.25	2.84
000450117	తరానికి	3.08	3.56
000450317	భాషా	0.74	1.11
000470102	మాదిగ	0.96	1.32
000480040	గ్రామాలు	4.38	4.9
000480076	చిత్రోత్సవం	0.85	1.8
000480076	చిత్రోత్సవం	4.74	5.33
000480473	క్రిడా	3.78	4.14
000490267	పరిగణలోకి	0.55	1.3
000490353	కాకి	0.67	0.9
000490353	కాకి	2.27	2.67
000500235	సూపరింటెండెంట్	3.33	3.94
000500268	వింత	1.65	1.93
000500268	వింత	2.45	2.75
000500323	సాధించుకున్నామని	4.78	5.72
000500443	హడావుడి	0.99	1.43
000510053	విగత	4.11	4.38
000510053	సేపటి	0.67	1.02
000510122	మేయర్	2.03	2.35
000510122	మేయర్	2.76	3.07
000510150	భూమన	6.84	7.36
000510150	సముద్రతీరంలో	2.35	3.14
000510157	యోగి	2.44	2.77
000510193	సతీష్	1.67	2.11
000510194	సస్పెండ్	3.11	3.49
000510198	సీట్లను	2.28	2.72
000530071	జరిగిందా	1.35	1.93
000530071	జరిగిందా	2.44	3.13
000530104	అరెస్ట్	3.55	3.96
000530130	ఉమామహేశ్వర	3.05	3.91
000530167	అపహాస్యం	0.47	1.12
000530167	అపహాస్యం	4.06	4.84
000530173	భూమన	7.96	8.56
000530192	కొడాలి	0.46	0.86
000530304	పూర్ణచంద్ర	0.38	1.13
000530304	పూర్ణచంద్ర	4.47	5.2
000530418	సాక్షిలో	0.5	1.0
000530447	తోచని	1.47	1.91
000530480	వెతికి	1.58	1.96
000530480	వెతికి	1.96	2.42
000540099	పూల	1.17	1.5
000540102	సీఎంగా	0.7	1.41
000540246	క్యాంపు	2.41	3.02
000540248	బాధాకరంగా	2.85	3.63
000540248	బాధాకరంగా	4.68	5.37
000540257	సాంకేతికతకు	0.98	1.71
000540270	అప్	4.54	4.69
000540293	హుకుం	1.67	2.21
000550058	భయంకరమైన	0.8	1.4
000550058	భయంకరమైన	3.34	3.93
000550058	వ్యాధికి	2.63	3.05
000550058	వ్యాధికి	4.62	4.93
000550097	సమాన	3.91	4.26
000550127	అరెస్ట్	4.16	4.38
000550147	పెంపు	1.08	1.38
000550162	బీహార్	0.97	1.24
000550287	సాగించే	3.57	3.86
000550309	వాటర్	1.54	1.79
000550309	వాటర్	2.85	3.12
000550315	సీట్లు	2.19	2.43
000550335	సౌరవ్	3.54	3.81
000550351	బీసీ	0.42	0.69
000550358	చెప్పడమే	3.17	3.67
000550369	లైన్	2.44	2.63
000550379	సస్పెండ్	1.56	1.92
000550394	అప్	3.82	3.98
000550489	సృష్టిస్తారని	3.33	4.09
000560117	బస్సును	3.19	3.5
000560317	పంపిన	2.85	3.35
000560332	సద్దుమణిగింది	6.39	7.09
000560335	శ్రీధర్	3.98	4.23
000560341	సతీష్	0.45	0.84
000560361	వ్యవసాయాన్ని	1.71	2.36
000560362	వింత	2.24	2.47
000560368	వ్యాపారాలను	1.5	2.1
000560475	సీనియర్లతో	2.99	3.58
000570033	పాయింట్	2.35	3.05
000570096	తిరుమలలో	8.53	9.24
000570244	సమాంతర	1.82	2.54
000570254	ఢీకొని	1.26	1.9
000570260	ఉమామహేశ్వర	3.93	4.81
000570272	డిగ్గీ	0.39	0.9
000570288	అప్	0.92	1.05
000570288	అప్	2.21	2.41
000570430	పూల	0.63	1.0
000570430	పూల	2.04	2.57
000580018	తోచని	1.37	1.74
000580042	సిడబ్ల్యూసి	0.83	1.53
000580102	ప్రమాణాలతో	3.59	3.96
000580270	వివాహిత	1.36	1.81
000580270	వివాహిత	3.31	3.75
000580413	క్యాంపు	3.52	3.77
000580421	లైన్	1.83	2.0
000580421	లైన్	2.63	2.78
000580436	సెంట్రల్	1.07	1.55
000580473	రాష్టప్రతి	4.77	5.26
000580473	రాష్టప్రతి	5.52	5.92
000590031	ఐకాస	0.48	0.93
000590304	బేగం	0.85	1.13
000590304	బేగం	1.65	1.96
000590420	శ్రీలక్ష్మి	0.48	0.98
000590453	సీతారాం	2.67	3.16
000590491	సాంబారు	3.04	3.48
000600001	బిర్యానీకి	0.87	1.35
000600004	పెంపు	2.41	2.71
000600012	పట్టాలు	3.68	4.17
000600035	అభిప్రాయానికి	5.66	6.54
000600041	కలెక్టరేట్	1.26	2.14
000600041	కలెక్టరేట్	5.63	6.48
000600050	హవా	2.8	3.06
000600050	హవా	4.74	4.99
000600269	సిరియాలో	0.46	1.06
000600442	సర్వేలో	1.95	2.34
000600474	సైట్	1.07	1.39
000610048	యోగి	2.04	2.35
000610110	సెర్చ్	2.56	3.08
000610110	సెర్చ్	8.94	9.61
000610124	సంయనం	2.03	2.8
000610131	హైకమాండ్	1.87	2.63
000610138	సూక్ష్మ	0.45	1.34
000610145	మైమ్	1.58	1.98
000610145	మైమ్	9.78	10.14
000610197	శాసనసభాపక్ష	2.05	3.22
000610342	సృష్టించారని	4.67	5.9
000610390	జియో	1.04	1.37
000610467	రామ	1.39	1.76
000630054	పరుగు	3.25	3.53
000630126	మేయర్	1.82	2.11
000630194	గణేష్	1.4	1.8
000630230	అమరవీరుల	2.01	2.84
000630230	అమరవీరుల	3.34	3.95
000630271	పిడుగుపాటుకు	1.76	2.48
000630281	ఏకాదశి	0.46	1.04
