000010005	અવસ્થામાં	1.83	2.56
000010010	ઘડિયાળ	5.06	5.41
000010032	એન્જિન	4.42	4.74
000010054	હેરી	1.12	1.54
000010056	ટ્રીટમેન્ટ	4.58	5.08
000010060	આચરણ	3.69	4.15
000010083	સિગ્નલ	5.98	6.51
000010087	સ્વીકારવા	5.25	5.9
000010104	પેટીમાં	3.44	3.85
000010107	અનેં	1.77	1.99
000010107	સાંકળુ	2.67	3.12
000010136	આપઘાતનો	0.45	1.04
000010138	સન્યાસ	4.59	5.04
000010160	હેન્ડપંપ	1.5	2.09
000010184	અચ્છે	7.17	7.5
000010186	અરબી	1.85	2.17
000010187	ક્લબ	2.51	2.8
000010187	સળંગ	1.23	1.59
000010188	સર્વર	1.21	1.64
000010188	સ્તરોને	2.12	2.93
000010229	સીઈઓના	6.55	7.12
000010229	સ્પાઈસ	4.4	4.94
000010241	હેબિયર્સ	2.66	3.35
000010256	પુરાણ	2.37	2.73
000010263	વિઝા	1.65	1.99
000010274	સોલા	1.05	1.43
000010293	સ્કેટ્સની	0.92	1.7
000010299	સીટોની	3.9	4.33
000010308	સુગમ	3.02	3.66
000010334	સેવાઓને	1.18	1.69
000010339	સ્વભાવની	3.54	4.05
000010340	હિસાબો	4.41	4.88
000010371	સલ્ફર	0.46	1.06
000010379	હશો	1.98	2.38
000010386	સુરીનામ	1.32	2.01
000010396	સિંચાઈ	3.39	3.76
000010413	સળગતા	2.36	2.96
000010438	મહેમાનો	3.46	3.9
000010441	સેક્રેટરીને	2.18	3.0
000010442	મસ્જિદ	2.82	3.38
000010470	દિગ્દર્શક	2.35	3.1
000010482	સમાધાનની	3.48	4.07
000010491	સોઢા	7.59	8.04
000030001	હિંસામાં	2.99	3.54
000030016	ઓસ્ટ્રેલિયાને	3.0	3.82
000030018	સુવાગ	0.43	1.33
000030038	સમ્મેલનનુ	6.84	7.68
000030068	સીઝ	2.53	2.76
000030096	આયરિશ	3.12	3.67
000030096	સ્વરૂપનો	5.06	5.62
